word,aspect,head_word,head_word_tag_new,lematized_words,ner,next_words,ortho_features,pos_tag,post_word_tag,pre_word_tag,prev_words,stopword,token_freq,word_len
I,0,1,PRP,I,0,charge,1,PRP,VBP,,,0,1,0
charge,0,0,,charge,0,it,0,VBP,PRP,PRP,I,0,1,1
it,0,1,PRP,it,0,at,0,PRP,IN,VBP,charge,1,1,0
at,0,0,,at,0,night,0,IN,NN,PRP,it,1,1,0
night,0,1,NN,night,0,and,0,NN,CC,IN,at,0,1,1
and,0,0,,and,0,skip,0,CC,NN,NN,night,1,1,0
skip,0,0,,skip,0,taking,0,NN,VBG,CC,and,0,1,1
taking,0,0,,take,0,the,0,VBG,DT,NN,skip,0,1,1
the,0,0,,the,0,cord,0,DT,NN,VBG,taking,1,2,0
cord,1,1,NN,cord,0,with,0,NN,IN,DT,the,0,1,1
with,0,0,,with,0,me,0,IN,PRP,NN,cord,1,1,1
me,0,1,PRP,me,0,because,0,PRP,IN,IN,with,1,1,0
because,0,0,,because,0,of,0,IN,IN,PRP,me,1,1,1
of,0,0,,of,0,the,0,IN,DT,IN,because,1,1,0
the,0,0,,the,0,good,0,DT,JJ,IN,of,1,2,0
good,0,0,,good,0,battery,0,JJ,NN,DT,the,0,1,1
battery,1,1,NN,battery,0,life,0,NN,NN,JJ,good,0,1,1
life,0,1,NN,life,0,,0,NN,,NN,battery,0,1,1
I,0,1,PRP,I,0,bought,1,PRP,VBD,,,0,1,0
bought,0,0,,buy,0,a,0,VBD,DT,PRP,I,0,1,1
a,0,0,,a,0,HP,0,DT,NNP,VBD,bought,1,1,0
HP,0,0,,HP,0,Pavilion,0,NNP,NNP,DT,a,0,1,0
Pavilion,0,0,,Pavilion,0,DV4,1,NNP,NNP,NNP,HP,0,1,1
DV4,0,0,,DV4,0,1222nr,0,NNP,CD,NNP,Pavilion,0,1,0
1222nr,0,0,,1222nr,0,laptop,0,CD,NN,NNP,DV4,0,1,1
laptop,0,1,NN,laptop,0,and,0,NN,CC,CD,1222nr,0,1,1
